,FERAID,NGS Run Number,BIOSYS site ID,Season,Dataset,SPT_Name,Conductivity,N_NH4,N_NO3,P_PO4,Alkalinity,pH,TotalRead,NonPlankRead,NoBlast Hit,% No Blast Hit of total count,NGS_TDI,LM_TDI4,LM_TDI5,Northing,Easting,Lon,Lat
83,2789,Diatom4,8907,Aut,2016,HAM MILL BRIDGE,200.3716126,0.036867192,1.818066286,0.01678637,33.33333333,7.446969697,41381,41381,10748,25.97327276,67.45076306,84.22058824,67.10144928,86860,234560,50.65785702,-4.341966071
84,2490,Diatom1 ,8908,Spr,2016,200M D/S NAVARINO BRIDGE,212.0461843,0.038793094,1.514372827,0.023218246,43.54545455,7.435909098,18925,18925,5735,30.30383091,40.30725366,42.84722222,41.52317881,89200,228940,50.67725681,-4.422484296
85,3207,Diatom5,8908,Aut,2016,200M D/S NAVARINO BRIDGE,212.0461843,0.038793094,1.514372827,0.023218246,43.54545455,7.435909098,14091,14091,3441,24.41984245,55.23230393,61.23076923,47.93046358,89200,228940,50.67725681,-4.422484296
86,2532,Diatom1,8909,Spr,2016,PRIOR TO RIVER OTTERY,219.7021716,0.043313469,1.966189371,0.024790005,42.57575758,7.428484844,4809,4809,1656,34.43543356,31.22285941,65.25747508,63.06634304,88900,226720,50.67390439,-4.453734208
87,3209,Diatom5,8909,Aut,2016,PRIOR TO RIVER OTTERY,219.7021716,0.043313469,1.966189371,0.024790005,42.57575758,7.428484844,13546,13546,5528,40.80909494,55.85211722,64.65992647,55.31758958,88900,226720,50.67390439,-4.453734208
90,2507,Diatom1,8970,Spr,2016,ST LEONARDS BRIDGE,194.7200071,0.032151903,1.664344811,0.015192772,34.39130435,7.563749989,15774,15773,2389,15.1461358,69.26860173,69.4296875,67.64307229,84850,235230,50.63998657,-4.331600819
91,2785,Diatom4,8970,Aut,2016,ST LEONARDS BRIDGE,194.7200071,0.032151903,1.664344811,0.015192772,34.39130435,7.563749989,59054,58981,20321,34.45346807,57.84561576,58.04560261,56.51376147,84850,235230,50.63998657,-4.331600819
92,3024,Diatom3,9068,Spr,2016,HOLME BRIDGE (90**),521.5291102,0.033376349,5.517071986,0.042175367,195.1111111,8.112222234,64215,64152,35263,54.96788876,69.61692419,75.63122924,74.72222222,86671,389084,50.67959314,-2.155862777
93,2963,Diatom4,9068,Aut,2016,HOLME BRIDGE (90**),521.5291102,0.033376349,5.517071986,0.042175367,195.1111111,8.112222234,39589,39336,12906,32.80964002,75.0677899,71.44628099,71.84,86671,389084,50.67959314,-2.155862777
94,2377,Diatom3,9144,Spr,2016,BLASHFORD (90**),96.67160474,0.020618952,0.192886267,0.014580996,11.8125,7.646000051,51414,51172,23485,45.89423904,26.50477905,35.55672269,30.14026403,107225,415025,50.86433913,-1.787873482
95,2828,Diatom4,9144,Aut,2016,BLASHFORD (90**),96.67160474,0.020618952,0.192886267,0.014580996,11.8125,7.646000051,46181,46181,21530,46.6209047,14.99433777,26.31221719,20.3271028,107225,415025,50.86433913,-1.787873482
96,2541,Diatom1,9291,Spr,2016,10M D/S RD BR  THE OLD MILL,281.4401087,0.043020954,4.42769225,0.033772308,65.57142857,7.842142923,20668,20666,12511,60.53904965,52.41871778,57.80427632,57.52467105,48322,273328,50.32118378,-3.780740346
97,2653,Diatom3,9291,Aut,2016,10M D/S RD BR  THE OLD MILL,281.4401087,0.043020954,4.42769225,0.033772308,65.57142857,7.842142923,35584,35583,25580,71.88826125,63.74447516,57.6986755,57.16887417,48322,273328,50.32118378,-3.780740346
98,2463,Diatom1 ,9335,Spr,2016,100M U/S FARM BRIDGE MILL HOUSE NURSERY,338.0670763,0.049537914,1.513333572,0.093780043,88.66666667,7.945000052,20878,20848,8697,41.71623177,55.01394956,71.68874172,71.6503268,102930,316850,50.81992122,-3.181772897
99,2712,Diatom3,9335,Aut,2016,100M U/S FARM BRIDGE MILL HOUSE NURSERY,338.0670763,0.049537914,1.513333572,0.093780043,88.66666667,7.945000052,46998,46992,21718,46.21637726,78.57873519,71.80463576,71.35313531,102930,316850,50.81992122,-3.181772897
100,2530,Diatom1,9533,Spr,2016,100M D/S BR  THORVERTON,153.0346605,0.036966098,1.685704889,0.042203272,40.2,7.859142903,17025,17006,9525,56.00964366,56.12505211,42.61182109,42.47611465,101550,293530,50.80369322,-3.512315216
101,2961,Diatom4,9533,Aut,2016,100M D/S BR  THORVERTON,153.0346605,0.036966098,1.685704889,0.042203272,40.2,7.859142903,40419,39978,12689,31.73995698,55.85513708,57.75083612,55.80298013,101550,293530,50.80369322,-3.512315216
102,2588,Diatom1,9545,Spr,2016,40M D/S IRON MILL BRIDGE STUCKERIDGE,134.6924511,0.02035194,1.375300001,0.02035361,32.09375,7.863333355,19438,19218,4724,24.58112186,47.21169825,49.03094463,48.55645161,120820,291770,50.97658778,-3.542996875
103,2556,Diatom3,9545,Aut,2016,40M D/S IRON MILL BRIDGE STUCKERIDGE,134.6924511,0.02035194,1.375300001,0.02035361,32.09375,7.863333355,30204,30204,17486,57.89299431,53.20316521,48.75868056,47.08333333,120820,291770,50.97658778,-3.542996875
104,2582,Diatom1,9547,Spr,2016,100M U/S SWINE BRIDGE,284.8768168,0.052037649,3.823610772,0.080119606,87.42424242,7.831515211,34841,34833,14408,41.36307524,51.15543273,60.14469453,59.47619048,113970,294450,50.91550963,-3.502849852
105,2557,Diatom3,9547,Aut,2016,100M U/S SWINE BRIDGE,284.8768168,0.052037649,3.823610772,0.080119606,87.42424242,7.831515211,49375,48304,19461,40.28858894,66.06652481,71.93143813,67.95901639,113970,294450,50.91550963,-3.502849852
106,2907,Diatom2,9584,Spr,2016,30M U/S ROADBRIDGE FORDMILL FARM,175.9455043,0.056038885,1.748269285,0.029598524,32.83333333,7.716666659,25281,25191,8755,34.7544758,31.34738613,34.50892857,30.36525974,117770,232460,50.93497635,-4.3857561
107,2439,Diatom3,9584,Aut,2016,30M U/S ROADBRIDGE FORDMILL FARM,175.9455043,0.056038885,1.748269285,0.029598524,32.83333333,7.716666659,57939,57768,28115,48.66881318,41.79797769,46.77606178,39.61538462,117770,232460,50.93497635,-4.3857561
108,2634,Diatom2,9585,Spr,2016,20M U/S BURYMOOR BRIDGE,198.6055231,0.051175816,2.560589942,0.049690599,44.28571429,7.417142834,25070,24760,3274,13.22294023,45.01435631,55.11245675,52.5,111050,252570,50.88008368,-4.097058819
109,3101,Diatom4,9585,Aut,2016,20M U/S BURYMOOR BRIDGE,198.6055231,0.051175816,2.560589942,0.049690599,44.28571429,7.417142834,45902,44816,10749,23.98473759,64.57359588,66.55405405,56.04440789,111050,252570,50.88008368,-4.097058819
110,2628,Diatom2,9587,Spr,2016,300M U/S A386 BR  50M U/S PYLONS,206.432244,0.059800632,2.537453343,0.048243003,38.75757576,7.573030327,26025,26025,2287,8.787704131,44.84616294,56.04294479,55.19637462,111300,252380,50.88228173,-4.099858726
